Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay;Departure Station;Arrival Destination;Date of Journey;Departure Time;Arrival Time;Actual Arrival Time;Journey Status;Reason for Delay
London Paddington,Liverpool Lime Street,01/01/2024,11:00:00,13:30:00,13:30:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,09:45:00,11:35:00,11:40:00,Delayed,Signal Failure;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,02/01/2024,18:15:00,18:45:00,18:45:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,21:30:00,22:30:00,22:30:00,On Time,;;;;;;;;
Liverpool Lime Street,London Euston,01/01/2024,16:45:00,19:00:00,19:00:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,06:15:00,08:05:00,08:05:00,On Time,;;;;;;;;
London Euston,Oxford,01/01/2024,22:30:00,23:40:00,23:40:00,On Time,;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,01/01/2024,00:00:00,00:30:00,00:30:00,On Time,;;;;;;;;
London Euston,York,01/01/2024,00:00:00,01:50:00,02:07:00,Delayed,Signal Failure;;;;;;;;
London Paddington,Reading,01/01/2024,01:30:00,02:30:00,02:30:00,On Time,;;;;;;;;
York,Durham,01/01/2024,01:45:00,02:35:00,02:35:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,02:15:00,03:15:00,03:15:00,On Time,;;;;;;;;
Manchester Piccadilly,Liverpool Lime Street,01/01/2024,04:15:00,04:45:00,04:45:00,On Time,;;;;;;;;
Manchester Piccadilly,Liverpool Lime Street,01/01/2024,05:00:00,05:30:00,05:30:00,On Time,;;;;;;;;
Birmingham New Street,London St Pancras,01/01/2024,06:30:00,07:50:00,07:50:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,07:45:00,08:45:00,08:45:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,07:45:00,08:45:00,08:45:00,On Time,;;;;;;;;
London St Pancras,Birmingham New Street,01/01/2024,07:30:00,08:50:00,08:50:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,07:30:00,09:20:00,09:20:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,09:00:00,10:50:00,10:50:00,On Time,;;;;;;;;
Birmingham New Street,Manchester Piccadilly,01/01/2024,11:15:00,12:35:00,13:06:00,Delayed,Technical Issue;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,01/01/2024,10:30:00,11:00:00,11:00:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,09:30:00,11:20:00,11:20:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,01/01/2024,12:45:00,14:05:00,14:05:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,01/01/2024,13:15:00,14:35:00,14:35:00,On Time,;;;;;;;;
Manchester Piccadilly,London Paddington,01/01/2024,13:45:00,16:00:00,16:00:00,On Time,;;;;;;;;
Oxford,Bristol Temple Meads,01/01/2024,14:15:00,15:30:00,15:54:00,Delayed,Signal Failure;;;;;;;;
London Paddington,Reading,01/01/2024,15:00:00,16:00:00,16:00:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,01/01/2024,16:30:00,17:50:00,17:50:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,17:00:00,18:50:00,18:50:00,On Time,;;;;;;;;
London St Pancras,Birmingham New Street,01/01/2024,17:45:00,19:05:00,19:05:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,18:15:00,19:15:00,19:15:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,17:45:00,19:35:00,19:35:00,On Time,;;;;;;;;
Birmingham New Street,Tamworth,01/01/2024,18:45:00,19:05:00,19:05:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,01/01/2024,23:30:00,00:50:00,00:50:00,On Time,;;;;;;;;
Manchester Piccadilly,Liverpool Lime Street,01/01/2024,02:45:00,03:15:00,03:15:00,On Time,;;;;;;;;
London St Pancras,Birmingham New Street,01/01/2024,04:30:00,05:50:00,05:50:00,On Time,;;;;;;;;
Birmingham New Street,London St Pancras,01/01/2024,04:30:00,05:50:00,05:50:00,On Time,;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,01/01/2024,05:00:00,05:30:00,05:30:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,02/01/2024,02:15:00,03:35:00,,Cancelled,Technical Issue;;;;;;;;
Manchester Piccadilly,Liverpool Lime Street,01/01/2024,05:30:00,06:00:00,06:00:00,On Time,;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,01/01/2024,06:00:00,06:30:00,06:30:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,06:15:00,08:05:00,08:05:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,06:30:00,08:20:00,08:20:00,On Time,;;;;;;;;
London St Pancras,Birmingham New Street,01/01/2024,06:30:00,07:50:00,07:50:00,On Time,;;;;;;;;
Manchester Piccadilly,London Euston,02/01/2024,03:30:00,05:20:00,05:31:00,Delayed,Weather Conditions;;;;;;;;
Birmingham New Street,London St Pancras,01/01/2024,06:30:00,07:50:00,07:50:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,06:45:00,08:35:00,08:35:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,07:30:00,09:20:00,09:20:00,On Time,;;;;;;;;
London Paddington,London Waterloo,01/01/2024,07:30:00,09:00:00,09:00:00,On Time,;;;;;;;;
London Kings Cross,York,01/01/2024,07:45:00,09:35:00,09:35:00,On Time,;;;;;;;;
Liverpool Lime Street,London Euston,01/01/2024,08:00:00,10:15:00,10:39:00,Delayed,Weather;;;;;;;;
London St Pancras,Birmingham New Street,01/01/2024,08:00:00,09:20:00,09:20:00,On Time,;;;;;;;;
Manchester Piccadilly,Sheffield,01/01/2024,08:15:00,09:00:00,09:00:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,08:45:00,09:45:00,09:45:00,On Time,;;;;;;;;
London Paddington,Reading,01/01/2024,07:45:00,08:45:00,08:45:00,On Time,;;;;;;;;
Liverpool Lime Street,Manchester Piccadilly,01/01/2024,09:15:00,09:45:00,09:45:00,On Time,;;;;;;;;
Birmingham New Street,London St Pancras,02/01/2024,06:30:00,07:50:00,07:50:00,On Time,;;;;;;;;
London St Pancras,Wolverhampton,02/01/2024,06:30:00,08:00:00,08:00:00,On Time,;;;;;;;;
Manchester Piccadilly,Liverpool Lime Street,02/01/2024,07:45:00,08:15:00,08:15:00,On Time,;;;;;;;;
London Euston,Birmingham New Street,01/01/2024,09:45:00,11:05:00,11:05:00,On Time,;;;;;;;;
Manchester Piccadilly,London Euston,02/01/2024,08:00:00,09:50:00,10:08:00,Delayed,Weather;;;;;;;;
London Kings Cross,York,01/01/2024,11:45:00,13:35:00,13:35:00,On Time,;;;;;;;;
